,title,date,content
22,강아지 수제간식 우유껌 만들기,2일 전,강아지가 유치빠질시기에는 딱딱한 간식류나 개껌이 좋다고 해서 폭풍검색을 좀 해봤습니다. 그러던 중 강아지 우유껌?이라는 아주 쉽고 간단하게 만들수 있는 강아지 수제간식이 있더라구요. 재료도 간단하고 저같은...
23,밤산책 강아지,2021.08.19.,퍼온사진 (X) 어제 먹방하고 집안일하고 누워있으려다가 소화 시킬 겸 아가(강아지)랑 나왔네요ㅎㅎㅎㅎ 신남ㅎㅎㅎㅎ 산책하다가 동네 고깃집 강아지 보러 슈우우웅 되게 순한 고깃집 마스코트 멍멍이ㅜㅜㅜㅜ 반갑다고...
24,강아지샴푸 피부에 순한 TS써니애견샴푸,7일 전,오늘은 강아지 목욕시키는 날이에요! 요즘 자외선도 강하고 날도 습하다 보니 강아지 피부가 걱정되는 거 있죠. 반려견은 사람보다 피부가 약하기 때문에 성분을 꼭 따져보고 구입하셔야 합니다. 그렇지 않으면 목욕 후에...
25,강아지 눈물사료 짱가의 눈물자국을 부탁해,2021.08.13.,병원에 가봤더니 선생님이 그것 만으로는 해결이 안된다면서 사료를 바꿔보라 하셔서 알아보고 선택한 강아지 눈물사료로 바꾸어 주었는데 제품이 너무 마음에 들었어요. 강아지를 반려하다 보면 눈물자국이나 눈꼽등은...
26,강아지 치아 관리에 관해,2021.08.22.,"보면 강아지 치아 관리에 관해 궁금해 하시는 분들이 꽤 계십니다. 특히 언제부터 양치질을 시작해야 하는지, 치약은 무엇을 써야 하는지, 스케일링은 얼마나 자주 해야 하는지 등등... 아무래도 강아지는 사람처럼..."
27,생애 첫 강아지를 키우게 됐습니다,2021.08.19.,제목처럼 생애 첫 강아지를 키우게 되어 까페가입하게 되었네요^^등업기념으로 인사올립니다 앞으로 많은 도움 부탁드려요^^ 초4딸래미 소원임에도 어텋게든 강아지는 안키워보려(자신이 없어서) 거북이 도마뱀 물고기...
28,강아지눈물사료 헬시20 눈물자국 많이 좋아졌다.,2021.08.08.,"빵이 눈물자국 없애주려고 강아지눈물자국에 도움이 될만한 사료, 간식 급여하고 있는데 이번에 새로 알게된 브랜드 헬시20 이거 급여하고 눈물자국 많이 좋아진 것 같다. 새싹땅콩이 강아지 노화와 치매, 면역력 증진에..."
29,강아지가 밤에 잠을 자지 않는다.,2021.08.05.,"강아지인지 또는 늙은 개인지 생활 환경에서 가능한 이유는 다르다. 또한 질병의 가능성도 있기 때문에... 강아지가 밤에 잠 않는 이유와 대책 ○ 환경에 익숙하지 않은 강아지를 맞이했거나 여행, 이사 처의 새로운 환경에..."
30,강아지 어리광 부릴 때 / 강아지가 스킨십을 원할 때,2021.06.29.,"서울 강서구에 위치한 아프리카동물메디컬센터입니다."" 강아지는 좋아하는 보호자와 스킨십을 함으로써 안정감을 얻고 애정 어린 손길에 보호자에 대한 충실감을 느끼곤 해요. 강아지와의 유대관계를 돈독히 하기 위해서..."
31,강아지가 자꾸 토해요. 이유를 확인하고 해결하자,6일 전,"강아지가 자꾸 토해요. 이유를 확인하고 해결하자 Photo by _ kium 강아지가 토를 하는 모습은 반려견을 키우는 분들이라면 일상생활 속에서 종종 보던 증상인데요, 강아지가 토를 하는 이유는 워낙 다양하며 걱정을..."
32,강아지산책 필수품 뿌야 강아지하네스,2021.08.13.,강아지하네스 강아지 산책 필수품이라고 할 수 있죠 ^^ 요새는 공원가도 예전처럼 강아지 목줄 없이 산책하시는 분들은 안보이시더라구요. 루팡이가 요즘 사용하는 강아지하네스는 뿌야 소형견 하네스에요. 먼지가 잘...
33,강아지가 으르렁거리는 이유(강아지 으르렁),2021.08.05.,순하디 순한 우리 강아지가 갑자기 이빨을 드러내며 으르렁거리면 보호자는 충격을 받을 수도 있는 것이죠. 그러나 강아지가 으르렁거리는 것은 상대를 싫어하거나 경계를 하고 있기 때문만이 아니라 다른 메시지가 담겨...
34,강아지 분양 말티즈충성!,5일 전,강아지 분양 말티즈 엄니가 휘리릭 김밥과 사라다를 만들엇쥬~ 아빵이 퇴근이 늦어 아들이랑 먼저 먹고... 아빵이ㅎ안스러운지 김밥 햄과 맛살을 하나씩 쏙쏙 빼서 드리네유 암..가족은 나눠 먹어야지 강아지 분양 말티즈
35,삶의 마지막 고통 받는 강아지 안락사 올바른 결정,2021.07.12.,삶의 마지막 고통 받는 강아지 안락사 올바른 결정 안락사에 대해서는 많은 이들의 의견이 분분 합니다. 어떤 분들은 고통 받는 강아지를 위한 주인의 의무라 하시지만 어떤 분들은 그래도 이것은 살해라고 생각하시기도...
36,"강아지 스케일링, 치근단농양 치과 수술",2021.08.21.,"강아지 ㅋ이는 식욕부진으로 내원하여 스케일링, 치근단농양 치과 수술 받았어요. 사실 3개월전 눈 밑에... 강아지 스케일링 전 치석, 치주염 주로 위턱 어금니 부분이 치석이 심했어요. 강아지, 고양이 동물들은 이빨이..."
37,[마이베프] 오래 먹는 강아지 간식은? 돼지귀!,6일 전,"수의사가 만드는 영양 간식, 마이베프 꾸준히 수의사님께서 강아지들의 건강을 위해 좋은 영양 간식들을... 마이베프 영양담은 닭가슴살, 돼지귀 영양담은 닭가슴살 마이베프 강아지 건조 간식은 그냥 닭가슴살만..."
38,애견 구명조끼 강아지 수영 필수품 콕펫 연구소,2021.08.13.,"사람말고 우리들의 반려견이 즐거운 물놀이를 위한 콕펫연구소 강아지 구명조끼 반려견과 함께하는 견주들이라면 여름 강아지 수영장에서 한번씩 물놀이를 다녀봤을텐데, 강아지라고 해서 모두 물에서 수영을 잘 하거나..."
39,"강아지옷 추천, 모이 귀여운 강아지 크롭나시티",2021.08.09.,"우리집 강아지들이 소중하듯, 이 세상 모든 반려동물들이 행복했으면 하는 저의 마음. : ) 저는 이왕 반려용품... 우리 강아지들을 위해 구매한 제품들이 유기견 아이들에게 작은 도움의 손길로 닿는다는 생각만으로도..."
40,강아지는 영혼이 없다는데,2021.08.18.,강아지가 하늘로 떠난 날 저는 일을 하고 있었어요 낮에 햇살이 뜨겁고 더운데 눈이 부신 와중에 불현듯 우리 강쥐가 1살때 공원에서 뛰어 다니던 모습이 떠오르는 거에요 그 순간에 마음이 짠하면서 우리 강아지 그렇게...
41,강아지 출산 : 탄이가 새끼 강아지들을 낳았습니다.,2021.08.20.,강아지 탄이가 새끼를 낳아서요 건강한 아아들을 출산했습니다. 요즘은 집에서 강아지 아기 낳는 일이 매우 드문 편이라 저희도 이렇게 귀여운 강아지들을 보는 즐거움이 생겼습니다. 강아지출산 새끼강아지 출산후 첫...
42,울강아지 믹스견이라 유치원 안된대용! ㅠ,22시간 전,다른 강아지만 보면 좋다고 꼬리흔들고 빙빙 돌고 냄새 맡는게 귀여워서 다음달에 한번 갔다오게 하려고... 전화로 강아지가 다른 강아지랑 노는걸 너무 좋아하는데 하루 2-3시간만 놀 수 있냐고 여쭤봤고 품종이랑 나이가...
43,너무 작은 강아지,2일 전,다 성장 한건데 2kg가 안 나갑니다.(1.8~1.9) 강아지옷은 사진에 옷들이 다 xs인데 핑크색 옷 마저도 살짝 큰(스판제질) xs라 그것도 커서 접어서 입혔고 노랑색 옷은 건조기 돌렸더니 수축되어 지금 딱 맞아요 새끼 강아지들...
44,현관바깥 외부소리에 짖는강아지훈련,2일 전,안녕하세요 강아지방문교육 바른독입니다. 현관 밖 인기척에 심하게 짖음 현관 신발장 앞에 자주 자리잡음 외출하면 엄청 짖는걸로 분리불안심함 문제로 강아지방문교육을 받으셨었던 포메라니안 11개월 구름이 보호자님...
45,강아지가 없는데도 살아지네요..,16시간 전,저는 우리강아지 없으면 내가 죽을 줄 알았어요... 작년 12월에 처음 시한부 이야기 들었을때.. 집에... 아직도 강아지 밥을 주고.. 잠자리를 펴 놓고 살지만 그래도 살아지네요.. 전 우리 강아지 없으면 죽을줄 알았는데...
46,강아지 분양생각하고 있어요~,4일 전,초등학생 외동아이를 키우고 있어요~~ 새로운 가족을 맞이하고싶은데 강아지키우는것은 처음이라 조심스러운 상황이에요.. 좋은취지의 유기견입양도 있지만..처음인 우리가족과 상처가있는 강아지가 잘지낼수 있을까하는...
47,강아지무료분양 말티즈 4살 여아 사랑으로 키워주실분,6일 전,기타사항 : 이 강아지는 처음 안락사 예정이라고 해서 너무 안타까워 고민끝에 데려와 1년반정도... 이 강아지를 데려오기전에 아이들 알러지검사부터 했어야했는데 ... 제가 생각이 짧았어요 그래서 일부러 아이들은...
48,강아지유모차,2021.08.21.,며칠을 강사모에서 유모차에 대해 공부하고 검색해보고 신중하게 결정한 유모차예요 강아지가 너무 소형견이라.이것저것고려해보고 탈지안탈지 돈버릴생각 까지 해보고 골랐어요 흐미 우리강아지 유모차를 너무 타고...
49,강아지 퇴원했어요♡,2021.08.23.,강아지가 홍역으로 입원해서 드디어 오늘 퇴원했어요 ㅠㅠㅠ 너무너무 기뻐요 ㅠ 차에 탈때까지는 기운없이... 모든 강아지 물건이 배송중이라서 급한대로 제가 덮던 이불 깔아주고 있어요 ㅎㅎ 강아지ㅜ걱정해주셨던...
50,겁 많은 소심한 강아지 키우는분 잇으세요?ㅠㅠ,2021.08.21.,겁 많은 강아지에요 애기때도 집에 외부인 오면 숨어있었어여ㅠㅜㅎㅎㅎ 뭐가 그렇게 무섭니...ㅠㅠㅠㅠㅠㅠ... 있는 강아지가 되면 좋겠는데 ㅠㅠㅠㅠㅠ 너무 맘아파요 어쩌면 좋을까요... 소심하고 산책 무서워하는...
51,강아지 분양 말티즈떠나유~,3일 전,강아지 분양 말티즈 아지.신비랑 함께 떠나유~~~ 니들 어디가는지 알어? 일단 가서 야그 해주께 신비는 미리 카시트 착석ㅎㅎ똑띠ㅎ 아지는 당연히 알고있고유ㅎㅎ 댕겨오겟슴돠~~^^ 강아지 분양 말티즈
52,강아지 드는 사람들ㅠㅠ,2021.08.11.,강아지가 사람들을 무척 좋아해요 꼬리흔들고 핥고 만져달라고 난리나는데 하루에 두명 정도는 강아지를 들어버리시네요ㅠ.. 제가 '싫어해요 내려주세요' 하면 아주머니분들이 '좋아하는데 뭘 내려' 이러면서 계속 들고...
53,목줄안한 강아지한테 저희개가 물렸어요 민사소송준비,2021.08.09.,강아지같은게 휙지나가길래 강아지유기견인가 햇는데 주인도안나타나더라구요? 그러고 코너를 도는데 똑같은흰색강아지 안고있는 아주머니가 00아 이러면서 찾고있더라구요 그래서 저기요 강아지 저쪽에있어요! 햇는데...
54,저희 강아지 자랑해도 되나요;;;,2021.07.29.,강아지 키우기 전에는 강아지 이야기 하는 사람들 잘 이해 못했거든요...ㅠㅠ 저희 아이는 2020년 7월에 태어나서 태어난 지 두달만에 9월에 우리집 왔구요. 태어난 지 12개월차 됬네요..ㅋㅋ 딸아이가 강아지 키우고 싶다고...
55,강아지쿨링 빗 댕쿨.. 반려견 여름나기,어제,맘에 드는 쿨링제품을 찾아서 오늘 소개 해 드리려합니다 바로 강아지쿨링 빗 댕쿨이에요!!~ 이름도 귀엽고... 없는 강아지들은 체온이 올라가면 헥헥~~~ 냉동실에 넣어둔 댕쿨을 꺼내와 부드럽게 빗질을 해 주니 열이...
56,강아지키우고싶네요 ㅠ,7일 전,"지나가는 강아지만보면 눈을떼지못하고,부끄럽든지말든지 주인한테 구걸하듯 한번만 만져봐도되요..?하구 물어보네요... 아이 둘도 키우기벅차서 개키우는건 엄두도안나는데..좀더 여유가생기면 요런 강아지 꼭 키우면서..."
57,강아지랑 같이 생활하시나요?,어제,재체기도 하고 그래서 강아지가 거실로 왔다갔다 하면 집 안 창문을 모두 닫아야 할정도에요.... 선풍기도 못 틀고요!! 잘때도 거실에서 자는데 강아지가 왔다갔다하거나 그러면 강아지도 힘들고 저희들도 힘든 상황이에요...
58,강아지 분양 유의사항,2일 전,10월에 강아지를 데려오려고 계획하고 있습니다. 정말 오래 고민했는데 결국 펫샵에서 데려오게 될 것 같아요... 쪽지로 걸러야 하는 펫샵을 알려주셔도 좋습니다!! 강아지는 진돗개와 시고르브자브종 키워본 적이 있습니다:)
59,부산강아지분양 내 가족처럼~,어제,"부산강아지분양에 대한 문의가 급격하게 늘어나는 시기이기도 한데요, 건강한 아가들을 만날 수 있는 방법, 오늘 요기독에서 알려드려요. 많은 부산강아지분양 업체들이 강아지의 건강에 대해서 자신한다고 말하지만..."
60,강아지 분양받을 때,4일 전,강아지 분양 받을 때 펫샵을 보통 가잖아요 펫샵도 여러군대 들려서 하나하나 다 비교해봐야하나요? 펫샵 가면 강아지에 대한 어떤 걸 물어봐야할까요?
